mpn_match,MPN,Title,Images,category,url,description,status
SFSCSBW,SFSCSBW,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Blue, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487571?queryID=ebfa5eaaae7e7cc2b0fc9e789f2d2951&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Blue, White Housing",[]
SFLCSBEI,SFLCSBEI,"Keystone Snap Fit, Snap-Fit, LCDuplex, Zircon Sleeves, Blue, Electric Ivory Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCEI_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487553?queryID=e6464ce0f16fbb4fd9c6fe7d4b3ccdcb&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LCDuplex, Zircon Sleeves, Blue, Electric Ivory Housing",[]
SFSCSBBK,SFSCSBBK,"Fiber Optic, Patch Cords, Snap-Fit, SCSimplex, Black, Zircon, Blue Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487566?queryID=cc9cea796a3e9ec8565e83dfad5e9b9f&indexName=Products,"Fiber Optic, Patch Cords, Snap-Fit, SCSimplex, Black, Zircon, Blue Housing",[]
PROTRK1225BK,PROTRK1225BK,Title not found,https://hubbellcdn.com/prodimage1200/WBP_PROTRK1225BK_PRODIMAGE_1200.jpg,"[['Cable & Hose Protection'], []]",url not found,"Wire and Cable Protection, ProTRAK,Hinged Cover Version, 2.5"" Wide Single Channel, 3' Length, Black",[]
SFFLCSYAL,SFFLCSYAL,Title not found,https://hubbellcdn.com/prodimage1200/WBP_SFFKLCYLW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Yellow, Almond Housing",['DISCONTINUED']
SFFSCSAQLA,SFFSCSAQLA,Title not found,https://hubbellcdn.com/prodimage1200/Image not found_2_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Aqua, Light Almond Housing",['DISCONTINUED']
SFLCSAQOW,SFLCSAQOW,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Aqua, Office White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/157039?queryID=5f896b44c1ae2ac288150d957ea2b1c4&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Aqua, Office White Housing",[]
SFLCSAQW,SFLCSAQW,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, White, Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/157040?queryID=515afad6a094e72e39d497a0eec39219&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, White, Almond Housing",[]
PROTRK3ASPK,PROTRK3ASPK,"Wire and Cable Protection, ProTrack Anti-Slip Pad Kit, 1225 Series",https://hubbellcdn.com/prodimage1200/WBP_PROTRK1ASPK_PRODIMAGE_1200.jpg,"[['Cable & Hose Protection'], []]",/hubbell/en/p/2316841?queryID=cb736b05afd772fd1e93f93e1693be8f&indexName=Products,"Wire and Cable Protection, ProTrack Anti-Slip Pad Kit, 1225 Series",[]
SFFLCSGNLA,SFFLCSGNLA,Title not found,https://hubbellcdn.com/prodimage1200/WBP_SFFSCGNOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Green, Light Almond Housing",['DISCONTINUED']
SFFLCSRW,SFFLCSRW,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Red, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFKLCRDW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/176783?queryID=54a3f43c6b95c4e31f18249afb7bcd9c&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Red, White Housing",[]
SFFSCSBKLA,SFFSCSBKLA,Title not found,https://hubbellcdn.com/prodimage1200/Image not found_2_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Black, Light Almond Housing",['DISCONTINUED']
SFFSCSORBK,SFFSCSORBK,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Zircon Sleeves, Orange, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCSORBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323286?queryID=ef5093caf7800c08d1f4946ec1caa006&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Orange, Black Housing",[]
SFFSCSYG,SFFSCSYG,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Zircon Sleeves, Yellow, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCSYG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323299?queryID=f5a4a933694b0183b7b5ac521b8d5082&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Yellow, Gray Housing",[]
SFLCSORG,SFLCSORG,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Orange, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168482?queryID=6df46cb129dd7b989053f9df792e6219&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Orange, Gray Housing",[]
SFSCSGNLA,SFSCSGNLA,Title not found,https://hubbellcdn.com/prodimage1200/WBP_SFSCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Green, Light Almond Housing",['DISCONTINUED']
SFFLCSBEW,SFFLCSBEW,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Beige, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFLCW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/172202?queryID=434217b5b907acf1619618dbecc034be&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Beige, White Housing",[]
SFFLCSBKAL,SFFLCSBKAL,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Black, Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFLCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/172204?queryID=efd8c382344e2accc154c349bd879db2&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Black, Almond Housing",['DISCONTINUED']
