mpn_match,MPN,Title,Images,category,url,description,status
SFSCSBKG,SFSCSBKG,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Black, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323313?queryID=8103885891bf1deb8b1395ad7c721e0c&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Black, Gray Housing",[]
SFSCSORBK,SFSCSORBK,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Orange, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323320?queryID=baf2957e6f2dd4b48d5d578fa127b75d&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Orange, Black Housing",[]
SFSTSLA,SFSTSLA,"Fiber Optic, Snap Fit, ST, Black, ZirconiaCeramic, Light Almond",https://hubbellcdn.com/prodimage1200/WBP_SFSTSOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487576?queryID=f62adccd289b93be7c610dd0fa57e774&indexName=Products,"Fiber Optic, Snap Fit, ST, Black, ZirconiaCeramic, Light Almond",['DISCONTINUED']
SFFLCSRG,SFFLCSRG,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Red, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFKLCRDW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/175294?queryID=cc10da76930897014d2f4c39b22f09a2&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Red, Gray Housing",[]
SFLCSBEAL,SFLCSBEAL,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Beige, Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCAL_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/160821?queryID=95a2974ceae686df7a00cd7d3d8c6065&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Beige, Almond Housing",['DISCONTINUED']
SFSCSBOW,SFSCSBOW,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Blue, Office White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487570?queryID=d9c75d57ae75fdb209488ba809f94b85&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Blue, Office White Housing",[]
SFFSCSBG,SFFSCSBG,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Blue, Zirc Sleeves, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487561?queryID=e5a057a8c4c15030bc275c27cc2c64b5&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Blue, Zirc Sleeves, Gray Housing",[]
SFLCSREI,SFLCSREI,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Red, Electric Ivory Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCEI_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168566?queryID=35de3cae8f389af774327863d5b65edd&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Red, Electric Ivory Housing",[]
SFSCSBKBK,SFSCSBKBK,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Black, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323312?queryID=9c7975d223f79db3791fe87f1b2b76a2&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Black, Black Housing",[]
SFSCSTSG,SFSCSTSG,"Keystone Snap Fit, Snap-Fit, SC/ST, Simplex, Phosphor Bronze Sleeves, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCSTG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323341?queryID=296262c932c1d72360b1960440319982&indexName=Products,"Fiber Optic Connectors, Snap-Fit,SC/ST, Simplex, Phosphor Bronze Sleeves, Gray Housing",[]
